MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974489,37.7924798,-0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.0350000,-0.0155842,0.0941053,0.0135791
MsgID.LOCAL_VELOCITY,24.0350000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924799,-0.0390000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.2850000,-0.0002199,-0.0303217,0.0393368
MsgID.LOCAL_VELOCITY,24.2850000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924799,-0.0460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.5350000,-0.0003241,0.0463642,0.0466844
MsgID.LOCAL_VELOCITY,24.5350000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924799,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,24.7850000,-0.0003136,0.0017316,0.0349227
MsgID.LOCAL_VELOCITY,24.7850000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924798,-0.0080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.0350000,-0.0111674,-0.0008455,0.0087806
MsgID.LOCAL_VELOCITY,25.0350000,-0.0000276,-0.0000084,-0.0000018
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924794,0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.2850000,-0.1121003,0.2934638,-0.0340484
MsgID.LOCAL_VELOCITY,25.2850000,0.0000073,0.0000078,0.0000057
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924794,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.5350000,-0.1161240,0.2934661,-0.0815311
MsgID.LOCAL_VELOCITY,25.5350000,0.0000019,-0.0000004,0.0000097
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924787,0.1250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,25.7850000,-0.1870311,0.3228396,-0.1254468
MsgID.LOCAL_VELOCITY,25.7850000,-0.0000184,0.0000094,0.0000077
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924792,0.1690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.0350000,-0.1388820,0.2487103,-0.1694579
MsgID.LOCAL_VELOCITY,26.0350000,0.0000009,0.0000110,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924803,0.1970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.2850000,-0.0159703,0.1124111,-0.1973001
MsgID.LOCAL_VELOCITY,26.2850000,0.0000145,0.0000080,0.0000194
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924800,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.5350000,-0.0504396,0.2123370,-0.2114254
MsgID.LOCAL_VELOCITY,26.5350000,0.0000261,-0.0000205,0.0000206
MsgID.GLOBAL_POSITION,0.0000000,-122.3974509,37.7924799,0.2060000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,26.7850000,-0.0523032,0.2129445,-0.2061445
MsgID.LOCAL_VELOCITY,26.7850000,-0.0000010,-0.0000138,0.0000113
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924799,0.1820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.0350000,-0.0525488,0.1454384,-0.1820557
MsgID.LOCAL_VELOCITY,27.0350000,-0.0000219,0.0000069,0.0000114
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924799,0.1500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.2860000,-0.0523370,0.2917966,-0.1506705
MsgID.LOCAL_VELOCITY,27.2860000,0.0000123,0.0000188,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924797,0.1120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.5360000,-0.0751150,0.4311044,-0.1126512
MsgID.LOCAL_VELOCITY,27.5360000,0.0000096,0.0000013,0.0000185
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924791,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,27.7860000,-0.1513726,0.3230608,-0.0859260
MsgID.LOCAL_VELOCITY,27.7860000,-0.0000098,-0.0000047,0.0000055
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,28.0360000,-0.1267115,0.1646855,-0.0708349
MsgID.LOCAL_VELOCITY,28.0360000,-0.0000107,0.0000115,0.0000136
MsgID.GLOBAL_POSITION,0.0000000,-122.3974514,37.7924793,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.2860000,-0.0271805,0.2817028,-0.0744197
MsgID.LOCAL_VELOCITY,28.2860000,-0.0000133,-0.0000028,0.0000026
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924802,0.0740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.5360000,-0.1749264,0.2934644,-0.0961741
MsgID.LOCAL_VELOCITY,28.5360000,-0.0000037,-0.0000182,0.0000147
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924788,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924795,0.1260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,28.7860000,-0.0969290,0.2944071,-0.1268154
MsgID.LOCAL_VELOCITY,28.7860000,-0.0000195,-0.0000072,0.0000109
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
